iter	Passed	Remaining
0	1	107
1	2	105
2	3	98
3	3	89
4	4	88
5	5	87
6	6	86
7	7	85
8	8	83
9	9	82
10	9	77
11	10	74
12	10	71
13	11	68
14	11	65
15	12	63
16	12	61
17	13	59
18	13	57
19	14	56
20	14	54
21	15	53
22	15	51
23	15	50
24	16	49
25	16	48
26	17	47
27	17	46
28	18	45
29	18	44
30	19	43
31	20	42
32	20	41
33	21	40
34	21	40
35	22	39
36	22	38
37	23	37
38	23	36
39	23	35
40	24	35
41	24	34
42	25	33
43	25	32
44	26	31
45	26	31
46	27	30
47	27	29
48	28	29
49	28	28
50	29	27
51	29	27
52	30	26
53	30	26
54	30	25
55	31	24
56	31	24
57	32	23
58	32	22
59	33	22
60	33	21
61	34	21
62	34	20
63	35	19
64	35	19
65	36	18
66	36	18
67	37	17
68	37	17
69	38	16
70	38	15
71	39	15
72	39	14
73	40	14
74	40	13
75	41	13
76	41	12
77	42	11
78	42	11
79	43	10
80	43	10
81	44	9
82	44	9
83	45	8
84	45	8
85	46	7
86	46	6
87	47	6
88	47	5
89	48	5
90	48	4
91	49	4
92	49	3
93	50	3
94	50	2
95	51	2
96	51	1
97	52	1
98	52	0
99	53	0
