iter	Passed	Remaining
0	178	177938
1	178	89235
2	179	59660
3	180	44856
4	180	35976
5	181	30053
6	182	25827
7	182	22665
8	183	20202
9	184	18230
10	184	16614
11	185	15275
12	186	14141
13	186	13167
14	188	12374
15	189	11643
16	190	11010
17	191	10441
18	192	9920
19	192	9451
20	193	9025
21	194	8646
22	196	8345
23	197	8037
24	198	7739
25	199	7468
26	200	7224
27	201	6997
28	202	6787
29	204	6621
30	205	6430
31	206	6245
32	207	6074
33	208	5928
34	209	5786
35	211	5650
36	212	5520
37	213	5401
38	214	5288
39	215	5179
40	216	5075
41	219	5015
42	220	4914
43	221	4821
44	222	4731
45	223	4644
46	224	4559
47	225	4481
48	226	4404
49	227	4330
50	228	4259
51	229	4191
52	230	4125
53	231	4061
54	232	4003
55	234	3949
56	235	3901
57	236	3846
58	237	3794
59	238	3742
60	239	3691
61	240	3642
62	241	3596
63	242	3550
64	243	3506
65	244	3459
66	245	3414
67	245	3370
68	246	3329
69	247	3294
70	249	3259
71	250	3225
72	251	3189
73	252	3155
74	252	3118
75	253	3083
76	254	3047
77	254	3012
78	255	2979
79	256	2947
80	256	2914
81	257	2883
82	257	2849
83	258	2820
84	259	2791
85	260	2763
86	260	2735
87	261	2708
88	262	2683
89	263	2665
90	265	2648
91	266	2627
92	267	2603
93	267	2580
94	268	2558
95	269	2535
96	269	2513
97	270	2491
98	271	2469
99	272	2448
100	272	2428
101	273	2408
102	274	2389
103	275	2370
104	275	2349
105	276	2330
106	276	2311
107	277	2293
108	278	2278
109	279	2263
110	280	2247
111	281	2230
112	281	2213
113	282	2196
114	283	2179
115	283	2163
116	284	2146
117	285	2131
118	285	2116
119	286	2101
120	287	2086
121	287	2071
122	288	2057
123	289	2042
124	289	2028
125	290	2016
126	291	2002
127	291	1988
128	294	1987
129	295	1974
130	295	1961
131	296	1948
132	296	1934
133	297	1922
134	298	1910
135	298	1898
136	299	1888
137	300	1877
138	301	1866
139	302	1856
140	302	1845
141	303	1833
142	304	1827
143	305	1818
144	308	1820
145	309	1812
146	310	1803
147	311	1792
148	312	1782
149	312	1772
150	313	1763
151	314	1753
152	315	1744
153	315	1735
154	316	1727
155	317	1719
156	318	1710
157	319	1701
158	319	1692
159	321	1685
160	321	1675
161	322	1666
162	323	1661
163	324	1656
164	326	1650
165	326	1642
166	327	1634
167	328	1626
168	329	1618
169	329	1611
170	330	1603
171	332	1599
172	333	1593
173	334	1587
174	335	1581
175	336	1575
176	337	1571
177	339	1570
178	340	1563
179	342	1559
180	343	1552
181	344	1546
182	345	1542
183	346	1536
184	348	1534
185	349	1529
186	350	1525
187	351	1520
188	355	1525
189	356	1520
190	357	1514
191	358	1509
192	359	1502
193	360	1497
194	361	1491
195	361	1484
196	362	1478
197	363	1473
198	364	1467
199	365	1461
200	366	1456
201	367	1451
202	368	1446
203	371	1448
204	372	1445
205	373	1441
206	374	1435
207	375	1429
208	376	1425
209	377	1419
210	378	1413
211	378	1408
212	379	1402
213	380	1397
214	381	1392
215	382	1386
216	382	1381
217	383	1376
218	384	1372
219	385	1366
220	386	1363
221	388	1361
222	389	1356
223	389	1351
224	390	1345
225	391	1340
226	392	1336
227	393	1332
228	395	1331
229	397	1331
230	399	1329
231	400	1324
232	402	1325
233	404	1324
234	405	1320
235	406	1316
236	407	1311
237	408	1306
238	408	1301
239	409	1296
240	410	1292
241	412	1292
242	415	1293
243	416	1289
244	417	1285
245	419	1284
246	420	1282
247	422	1279
248	423	1278
249	427	1283
250	429	1281
251	430	1276
252	431	1273
253	432	1268
254	432	1264
255	433	1259
256	434	1256
257	435	1251
258	436	1248
259	437	1245
260	438	1241
261	438	1236
262	439	1231
263	440	1226
264	440	1222
265	441	1218
266	442	1215
267	445	1216
268	446	1214
269	447	1210
270	448	1206
271	448	1201
272	449	1197
273	450	1192
274	450	1188
275	451	1183
276	451	1179
277	452	1175
278	453	1170
279	453	1166
280	454	1162
281	454	1158
282	455	1153
283	457	1152
284	458	1149
285	459	1148
286	461	1146
287	462	1143
288	463	1139
289	463	1135
290	464	1131
291	464	1127
292	465	1123
293	466	1119
294	466	1115
295	467	1111
296	468	1107
297	468	1103
298	469	1100
299	469	1096
300	471	1094
301	472	1091
302	473	1090
303	475	1087
304	476	1086
305	477	1083
306	478	1079
307	478	1075
308	479	1072
309	480	1069
310	481	1065
311	481	1062
312	482	1058
313	482	1055
314	483	1051
315	484	1048
316	484	1044
317	485	1041
318	486	1038
319	488	1037
320	488	1034
321	491	1033
322	492	1031
323	492	1027
324	493	1024
325	494	1021
326	494	1018
327	495	1014
328	496	1011
329	496	1008
330	497	1004
331	497	1001
332	498	998
333	499	995
334	500	994
335	502	992
336	503	989
337	504	987
338	506	987
339	507	984
340	507	981
341	508	978
342	509	975
343	509	971
344	510	968
345	510	965
346	511	962
347	512	959
348	512	956
349	513	952
350	513	949
351	515	948
352	517	947
353	518	945
354	519	943
355	519	940
356	520	937
357	521	934
358	521	931
359	522	928
360	522	925
361	523	922
362	523	919
363	524	916
364	525	913
365	525	910
366	526	908
367	527	905
368	528	902
369	528	900
370	529	898
371	531	897
372	532	895
373	533	892
374	533	889
375	534	886
376	534	884
377	535	881
378	536	878
379	536	875
380	537	873
381	538	870
382	538	867
383	539	864
384	539	862
385	540	859
386	540	856
387	541	854
388	542	851
389	543	849
390	543	847
391	545	846
392	548	846
393	548	844
394	549	841
395	550	839
396	550	836
397	551	834
398	552	831
399	552	828
400	553	826
401	553	824
402	554	821
403	555	819
404	555	816
405	556	813
406	556	811
407	557	808
408	558	806
409	559	804
410	560	802
411	561	801
412	562	799
413	563	797
414	564	795
415	564	792
416	565	790
417	566	788
418	566	785
419	567	783
420	567	780
421	568	778
422	569	776
423	569	773
424	570	771
425	570	769
426	571	766
427	572	764
428	572	762
429	573	759
430	573	757
431	576	757
432	577	756
433	578	754
434	578	751
435	579	749
436	580	747
437	580	745
438	581	742
439	581	740
440	582	738
441	583	736
442	583	733
443	584	731
444	585	729
445	585	727
446	586	725
447	586	723
448	587	721
449	588	718
450	588	716
451	589	714
452	591	714
453	592	713
454	593	711
455	594	708
456	594	706
457	595	704
458	596	702
459	596	700
460	597	698
461	598	696
462	598	694
463	599	692
464	600	690
465	600	688
466	601	686
467	601	684
468	602	682
